sample_id,kmedoids_k4
ERR2209858,1
ERR2209859,0
ERR2209860,1
ERR2209861,1
ERR2209862,0
ERR2209863,0
ERR2209864,2
ERR2209865,1
ERR2209866,1
ERR2209867,1
ERR2209868,1
ERR2209869,1
ERR2209870,0
ERR2209871,3
ERR2209872,0
ERR2209873,0
ERR2209874,1
ERR2209875,1
ERR2209876,1
ERR2209877,0
ERR2209878,1
ERR2209879,1
ERR2209880,0
ERR2209881,0
ERR2209882,0
ERR2209883,0
ERR2209884,0
ERR2209885,3
ERR2209886,0
ERR2209887,1
ERR2209888,1
ERR2209889,0
ERR2209890,1
ERR2209891,0
ERR2209892,0
ERR2209893,0
ERR2209894,0
ERR2209895,1
ERR2209896,3
ERR2209897,1
ERR2209898,1
ERR2209899,1
ERR2209900,1
ERR2209901,0
ERR2209902,2
ERR2209903,0
ERR2209904,0
ERR2209905,2
ERR2209906,2
ERR2209907,2
ERR2209908,0
ERR2209909,1
ERR2209910,3
ERR2209911,2
ERR2209912,3
ERR2209913,2
ERR2209914,1
ERR2209915,0
ERR2209916,2
ERR2209917,0
ERR2209918,0
ERR2209919,3
ERR2209920,3
ERR2209921,0
ERR2209922,3
ERR2209923,2
ERR2209924,2
ERR2209925,1
ERR2209926,2
ERR2209927,0
ERR2209928,3
ERR2209929,0
ERR2209930,0
ERR2209931,0
ERR2209932,3
